,day_year,day_week,week,borough,fhv,2019_night,2019_morn,2019_arvo,2019_even,2020_night,2020_morn,2020_arvo,2020_even,total_case_count,total_probable_case_count,total_hospitalized_count,total_death_count,total_probable_death_count,total_case_count_7day_avg,total_all_case_count_7day_avg,total_hospitalized_count_7day_avg,total_death_count_7day_avg,total_all_death_count_7day_avg,borough_case_count,borough_probable_case_count,borough_hospitalized_count,borough_death_count,borough_probable_death_count,borough_case_count_7day_avg,borough_all_case_count_7day_avg,borough_hospitalized_count_7day_avg,borough_death_count_7day_avg,borough_all_death_count_7day_avg,pre_k_schools,elementary_schools,middle_schools,high_schools,construction,offices,phase_1,restaurants,outdoor_dining,phase_2,phase_3,phase_4,large_capacity_public,gatherings,broadway,movies,stadium_capcity,indoor_religious,curfew
1851,217,2,31,0,1,10921,33980,29640,30668,11475,27410,34242,26496,187,19,32,4,2,240,258,33,4,5,47,5,11,1,0,58,61,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852,217,2,31,1,0,714,1872,2279,4417,36,152,268,180,187,19,32,4,2,240,258,33,4,5,49,4,12,1,1,70,75,12,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1853,217,2,31,1,1,21540,62837,61534,79496,16363,48489,66820,49700,187,19,32,4,2,240,258,33,4,5,49,4,12,1,1,70,75,12,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1854,217,2,31,2,0,11266,75393,85591,97227,513,11359,11162,5771,187,19,32,4,2,240,258,33,4,5,38,7,2,1,0,43,47,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,217,2,31,2,1,27455,105589,117667,139550,12091,56656,58626,42932,187,19,32,4,2,240,258,33,4,5,38,7,2,1,0,43,47,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856,217,2,31,3,0,500,1135,1408,2697,30,175,320,173,187,19,32,4,2,240,258,33,4,5,46,3,6,1,1,58,62,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,217,2,31,3,1,14660,42499,40129,45620,9603,29292,36695,24658,187,19,32,4,2,240,258,33,4,5,46,3,6,1,1,58,62,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,217,2,31,4,0,0,4,8,4,0,0,0,0,187,19,32,4,2,240,258,33,4,5,7,0,1,0,0,12,13,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,217,2,31,4,1,1030,4021,4244,3270,738,2611,3137,1970,187,19,32,4,2,240,258,33,4,5,7,0,1,0,0,12,13,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860,218,3,31,0,0,83,525,457,304,14,67,86,84,298,21,39,6,1,242,259,34,4,5,66,3,9,1,0,56,59,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
